student_id,first_name,last_name,gender,year_of_study,date_of_birth,gpa
1,Allison,Rice,Female,3,2006-06-09,2.35
2,Sandra,Taylor,Other,3,1996-01-17,3.82
3,Angela,Good,Female,4,1998-11-08,2.89
4,Gregory,Curry,Other,1,1999-01-02,2.2
5,Gina,Walker,Female,4,2004-05-17,3.09
6,Melissa,Thompson,Male,2,1999-03-14,
7,Catherine,Harris,Male,4,1994-01-03,3.56
8,Teresa,Horton,Female,3,2005-09-22,2.4
9,Jesse,Bridges,Female,3,2003-08-22,2.49
10,Darryl,House,Female,4,1996-07-06,3.0
11,Kyle,Randolph,Male,2,1996-06-07,3.72
12,Melody,Martin,Male,2,1995-12-05,2.6
13,Timothy,Freeman,Male,3,1997-03-03,2.92
14,Sarah,Johnson,Male,4,1998-02-20,3.09
15,Matthew,Manning,Female,3,1999-06-11,2.85
16,Michael,Hall,Other,1,2004-08-14,2.68
17,Darlene,Sullivan,Other,2,2001-09-02,3.01
18,Leah,Gomez,Other,1,1998-05-10,3.82
19,Deborah,Richardson,Female,4,1997-04-21,2.74
20,Jennifer,May,Male,2,2005-10-25,2.36
21,Amy,Austin,Male,4,2000-02-12,3.67
22,Amanda,Abbott,Other,3,1995-07-10,3.19
23,Taylor,Adams,Other,2,2000-08-04,2.97
24,Nicholas,Mcdaniel,Other,4,2006-08-18,3.3
25,Michael,Adams,Other,4,2007-01-29,3.81
26,Alan,Gallagher,Female,2,2001-03-01,2.95
27,Jose,Klein,Other,3,1995-06-01,3.96
28,Amanda,Mcbride,Other,2,1997-07-26,3.04
29,Caitlyn,Hughes,Other,4,1993-03-06,3.57
30,Kathryn,Holt,Male,2,1996-10-21,3.74
31,Bryan,Glover,Male,4,2002-08-10,2.04
32,Melissa,Hampton,Female,3,1998-09-22,2.46
33,Thomas,Walker,Female,2,1993-06-25,3.75
34,Tina,Guerra,Other,4,1996-05-24,2.59
35,Mario,Lindsey,Female,3,2003-12-14,2.21
36,Kristy,Clark,Male,1,1995-11-06,2.1
37,Donna,Williams,Male,4,1997-12-13,3.29
38,Michael,Howard,Other,2,1994-05-20,3.19
39,Kevin,Mercado,Male,1,2007-04-04,3.72
40,Karen,Hunt,Other,3,2001-04-30,2.55
41,Nicole,Johnson,Female,3,1997-09-13,3.76
42,Steven,Roberts,Male,2,1995-01-03,3.82
43,Sarah,Phillips,Female,2,1997-06-08,2.3
44,Eric,Mckay,Female,2,2007-05-10,2.55
45,Stephanie,Turner,Other,1,1997-01-22,2.87
46,Barbara,Hays,Male,2,2006-08-21,3.63
47,Steven,Johnson,Female,3,1994-01-27,3.31
